color,technology,year,differences
white,B,2011,0.382571176
white,B,2012,-0.094264804
white,B,2013,0.099475094
white,B,2014,0.024246194
white,B,2016,-0.086253592
white,B,2017,-1.330399936
white,B,2018,-0.618523961
white,B,2019,-1.647852139
white,BR,2011,0.592446038
white,BR,2012,1.031118611
white,BR,2013,-0.384533489
white,BR,2014,-0.344185915
white,BR,2016,0.0008452
white,BR,2017,-1.901172879
white,BR,2018,0.482620043
white,BR,2019,0.074411829
white,R,2011,0.184548976
white,R,2012,-0.062610936
white,R,2013,-0.511338234
white,R,2014,-0.09136265
white,R,2016,-0.590381944
white,R,2017,-2.063148686
white,R,2018,0.51820698
white,R,2019,0.263140684
yellow,B,2011,-0.328691928
yellow,B,2012,-0.267670625
yellow,B,2013,-0.472617757
yellow,B,2014,0.193712907
yellow,B,2016,0.254168084
yellow,B,2017,-0.672198236
yellow,B,2018,-0.828241966
yellow,B,2019,-0.667747336
yellow,BR,2011,1.12351735
yellow,BR,2012,0.339320585
yellow,BR,2013,1.146830829
yellow,BR,2014,1.544611836
yellow,BR,2016,3.337576931
yellow,BR,2017,0.74511587
yellow,BR,2018,-0.045434351
yellow,BR,2019,0.581509788
yellow,R,2011,0.233045859
yellow,R,2012,0.396305548
yellow,R,2013,0.212978253
yellow,R,2014,0.077445973
yellow,R,2016,1.131585219
yellow,R,2017,1.009829316
yellow,R,2018,0.334789338
yellow,R,2019,-0.212716019
