"","color","technology","year","mean","SD"
"1","white","B",2011,8.48639121976917,2.85309756497356
"2","white","B",2012,6.59253216953293,2.63795432725768
"3","white","B",2013,7.28586282190846,3.46409353934681
"4","white","B",2014,7.98881525974815,2.79991081680778
"5","white","B",2016,5.35051724137931,3.20246778654937
"6","white","B",2017,8.02941783836063,2.95195503281614
"7","white","B",2018,6.71666929824561,1.7611243484828
"8","white","B",2019,4.94231848431373,1.79793583441059
"9","white","BR",2011,8.69626608158542,2.80247259309806
"10","white","BR",2012,7.71791558451724,3.51022351054587
"11","white","BR",2013,6.80185423943375,3.28940024386897
"12","white","BR",2014,7.62038315017449,2.75115471017014
"13","white","BR",2016,5.43761603375527,3.50168615563938
"14","white","BR",2017,7.4586448945096,2.76271987063114
"15","white","BR",2018,7.98863659666859,2.55410141963202
"16","white","BR",2019,6.6645824525009,3.19613526064984
"17","white","conv",2011,8.10382004354449,2.88790220775354
"18","white","conv",2012,6.68679697345493,2.91432294597173
"19","white","conv",2013,7.18638772834659,3.32175045448695
"20","white","conv",2014,7.96456906557164,2.66226554933991
"21","white","conv",2016,5.43677083333333,3.45667394613955
"22","white","conv",2017,9.35981777397074,4.26197171445519
"23","white","conv",2018,7.56103054831448,2.96931496824026
"24","white","conv",2019,6.59017062372807,3.27139265871997
"25","white","R",2011,8.28836901937075,2.80824967879622
"26","white","R",2012,6.62418603703881,2.65033349220619
"27","white","R",2013,6.67504949442381,3.10959301706437
"28","white","R",2014,7.87320641585366,2.75223976983975
"29","white","R",2016,4.84638888888889,3.16413255193292
"30","white","R",2017,7.29666908810103,2.89039879629133
"31","white","R",2018,8.02422353321935,2.48863383335054
"32","white","R",2019,6.85331130778524,3.22828439008929
"33","yellow","B",2011,8.43912774722962,3.17026407688642
"34","yellow","B",2012,7.7557395531157,3.59268942526712
"35","yellow","B",2013,7.94270863845062,3.90545929758581
"36","yellow","B",2014,9.14286462488755,3.54481885773675
"37","yellow","B",2016,6.82095541401274,4.40393109451566
"38","yellow","B",2017,7.70120342159715,3.41211642485272
"39","yellow","B",2018,8.17528294561446,2.85206190549673
"40","yellow","B",2019,6.93335525788333,2.99378874293769
"41","yellow","BR",2011,9.89133702515695,3.45304165469789
"42","yellow","BR",2012,8.36273076315784,3.94224252666144
"43","yellow","BR",2013,9.56215722453675,4.39461421352809
"44","yellow","BR",2014,10.493763554233,3.90527664999998
"45","yellow","BR",2016,9.90436426116839,5.39144160112505
"46","yellow","BR",2017,9.11851752771573,3.78388839184819
"47","yellow","BR",2018,8.95809056047192,3.40687088104254
"48","yellow","BR",2019,8.18261238204084,4.16409079310183
"49","yellow","conv",2011,8.76781967521624,3.26680789594752
"50","yellow","conv",2012,8.02341017792323,3.6990241306307
"51","yellow","conv",2013,8.41532639508862,3.83034021323699
"52","yellow","conv",2014,8.9491517178861,3.53987806455795
"53","yellow","conv",2016,6.56678733031674,4.17628654074565
"54","yellow","conv",2017,8.37340165727303,3.63556159504859
"55","yellow","conv",2018,9.00352491159582,3.11540782018307
"56","yellow","conv",2019,7.60110259381606,3.54672245536262
"57","yellow","R",2011,9.00086553373364,3.48208714513812
"58","yellow","R",2012,8.41971572593667,3.72691873928023
"59","yellow","R",2013,8.62830464786901,3.86251756581915
"60","yellow","R",2014,9.02659769081838,3.58685671700682
"61","yellow","R",2016,7.69837254901961,4.76099466857667
"62","yellow","R",2017,9.38323097289144,4.02982841126906
"63","yellow","R",2018,9.3383142490962,3.42253574409123
"64","yellow","R",2019,7.38838657498058,3.70483361770908
